epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.988,1.67235,2.57729,1.51617,0.00679,0.82121,0.2773,0.14003,1.58089,3.08596,1.42145,0.00058,0.00058,0.00058
2,255.11,1.57059,2.02217,1.41343,0.10676,0.06364,0.02554,0.01025,2.45292,3.55231,2.54898,0.00115664,0.00115664,0.00115664
3,414.12,1.56803,1.88354,1.39462,0.27462,0.25758,0.15743,0.07138,2.14959,2.95053,2.04157,0.00170951,0.00170951,0.00170951
