epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.839,1.66522,2.6083,1.5964,0.27311,0.18788,0.12411,0.04993,1.77439,3.04787,1.72425,0.000660969,0.000660969,0.000660969
2,259.939,1.66993,2.14685,1.54557,0.54621,0.42121,0.42639,0.19676,1.73974,2.40812,1.75722,0.00130135,0.00130135,0.00130135
3,395.111,1.67743,2.07951,1.58307,0.50542,0.40606,0.40056,0.18672,1.77442,2.70914,1.78856,0.00191533,0.00191533,0.00191533
4,530.446,1.66949,2.035,1.59133,0.49091,0.48182,0.46772,0.22573,1.6691,2.38117,1.75397,0.0018812,0.0018812,0.0018812
5,656.411,1.61484,1.90913,1.52626,0.62162,0.42121,0.47669,0.23592,1.67356,2.0919,1.71017,0.0018416,0.0018416,0.0018416
6,774.991,1.59249,1.78713,1.52071,0.60598,0.48485,0.54437,0.28782,1.60054,1.80129,1.56655,0.001802,0.001802,0.001802
7,910.334,1.59716,1.79413,1.52818,0.64956,0.51818,0.56613,0.29133,1.6312,1.91957,1.62783,0.0017624,0.0017624,0.0017624
8,1034.45,1.57633,1.72313,1.49756,0.71309,0.46061,0.53919,0.28807,1.50039,1.9022,1.53541,0.0017228,0.0017228,0.0017228
9,1152.64,1.55008,1.63035,1.46562,0.66096,0.56061,0.61567,0.34439,1.48924,1.58704,1.50479,0.0016832,0.0016832,0.0016832
10,1272.59,1.49584,1.50189,1.44447,0.73168,0.53712,0.64139,0.35631,1.49759,1.61093,1.50203,0.0016436,0.0016436,0.0016436
11,1393.33,1.46356,1.55454,1.41645,0.68196,0.57879,0.65227,0.35107,1.45363,1.62783,1.49259,0.001604,0.001604,0.001604
12,1512.26,1.44287,1.46632,1.41306,0.65623,0.57576,0.62878,0.34277,1.54032,1.58081,1.56716,0.0015644,0.0015644,0.0015644
13,1627.86,1.4718,1.46193,1.41626,0.66024,0.60303,0.6701,0.37693,1.46511,1.57328,1.48699,0.0015248,0.0015248,0.0015248
14,1770.03,1.42146,1.39211,1.38178,0.71515,0.58582,0.63442,0.356,1.50447,1.52107,1.55494,0.0014852,0.0014852,0.0014852
15,1902,1.43761,1.41057,1.3904,0.73682,0.60909,0.69029,0.38137,1.46276,1.39197,1.45665,0.0014456,0.0014456,0.0014456
16,2031.26,1.38833,1.29585,1.35936,0.72063,0.56667,0.67738,0.37649,1.45078,1.49348,1.46894,0.001406,0.001406,0.001406
17,2158.65,1.39129,1.31676,1.35418,0.71461,0.62121,0.70322,0.40816,1.39315,1.42795,1.42296,0.0013664,0.0013664,0.0013664
18,2278.84,1.37964,1.32962,1.36196,0.68534,0.6303,0.68307,0.39847,1.43439,1.45172,1.46113,0.0013268,0.0013268,0.0013268
19,2398.78,1.34856,1.27799,1.34036,0.70394,0.62121,0.6941,0.42172,1.358,1.32527,1.41511,0.0012872,0.0012872,0.0012872
20,2511.61,1.33997,1.23341,1.33806,0.72636,0.67879,0.73588,0.42104,1.43312,1.26017,1.4902,0.0012476,0.0012476,0.0012476
21,2614.5,1.34353,1.23696,1.32649,0.7234,0.65455,0.72418,0.43585,1.37812,1.33593,1.41598,0.001208,0.001208,0.001208
22,2714.76,1.33205,1.19136,1.31665,0.71388,0.61212,0.7094,0.41607,1.4349,1.36527,1.48043,0.0011684,0.0011684,0.0011684
23,2828.57,1.31046,1.20083,1.3169,0.7369,0.63654,0.7284,0.43679,1.37667,1.2892,1.42624,0.0011288,0.0011288,0.0011288
24,2931.05,1.3271,1.21429,1.31344,0.70695,0.65758,0.73083,0.43811,1.40705,1.29892,1.41423,0.0010892,0.0010892,0.0010892
25,3032.83,1.33785,1.19857,1.31203,0.71901,0.66684,0.7305,0.43958,1.36974,1.24075,1.43158,0.0010496,0.0010496,0.0010496
26,3131.07,1.28789,1.17453,1.30473,0.77676,0.65374,0.74119,0.45244,1.33909,1.16487,1.40764,0.00101,0.00101,0.00101
27,3236.83,1.25129,1.14029,1.29252,0.7609,0.62682,0.72337,0.44855,1.34147,1.22771,1.41795,0.0009704,0.0009704,0.0009704
28,3351.86,1.2491,1.12041,1.27423,0.78005,0.6303,0.73303,0.44448,1.38031,1.27443,1.43468,0.0009308,0.0009308,0.0009308
29,3456.02,1.2149,1.10146,1.26781,0.80413,0.65935,0.76798,0.47644,1.31808,1.16084,1.39338,0.0008912,0.0008912,0.0008912
30,3556.55,1.27844,1.11186,1.29413,0.73264,0.71515,0.76483,0.46523,1.3109,1.1896,1.37213,0.0008516,0.0008516,0.0008516
31,3664.02,1.24558,1.07859,1.26508,0.76264,0.66208,0.75673,0.46622,1.31915,1.1809,1.36885,0.000812,0.000812,0.000812
32,3764.58,1.21865,1.07347,1.25017,0.79495,0.66364,0.75717,0.46008,1.33104,1.18114,1.37456,0.0007724,0.0007724,0.0007724
33,3872.32,1.22306,1.06991,1.26843,0.74782,0.70303,0.76921,0.47498,1.34961,1.1334,1.41843,0.0007328,0.0007328,0.0007328
34,3977.21,1.18468,0.99207,1.22474,0.82682,0.63657,0.75733,0.477,1.32078,1.1491,1.3852,0.0006932,0.0006932,0.0006932
35,4078.88,1.17771,0.98839,1.22271,0.79987,0.68485,0.77204,0.47617,1.31338,1.07213,1.36824,0.0006536,0.0006536,0.0006536
36,4178.17,1.20601,1.00809,1.24511,0.74127,0.69091,0.76769,0.47066,1.36863,1.11713,1.40157,0.000614,0.000614,0.000614
37,4282.88,1.18955,0.99689,1.23623,0.78999,0.67255,0.77198,0.48617,1.29942,1.11366,1.35891,0.0005744,0.0005744,0.0005744
38,4403.7,1.15563,0.9757,1.22295,0.80039,0.66831,0.76786,0.48584,1.31171,1.10377,1.37236,0.0005348,0.0005348,0.0005348
39,4510.33,1.1133,0.91839,1.19374,0.76542,0.68182,0.7572,0.48413,1.29644,1.10606,1.37353,0.0004952,0.0004952,0.0004952
40,4612.48,1.14278,0.91103,1.2079,0.78227,0.70909,0.76648,0.4798,1.31508,1.09178,1.39201,0.0004556,0.0004556,0.0004556
41,4705.9,1.0778,0.91199,1.18278,0.75255,0.67275,0.75377,0.46836,1.30655,1.11489,1.39294,0.000416,0.000416,0.000416
42,4805.83,1.06326,0.84047,1.16528,0.79399,0.67273,0.77124,0.48161,1.29217,1.14066,1.35759,0.0003764,0.0003764,0.0003764
43,4922.07,1.02413,0.82307,1.14371,0.74932,0.70651,0.77226,0.48999,1.29322,1.06166,1.37786,0.0003368,0.0003368,0.0003368
44,5031.6,1.01429,0.7761,1.11679,0.79578,0.70606,0.79331,0.49981,1.28304,1.05978,1.3576,0.0002972,0.0002972,0.0002972
45,5143.45,1.00435,0.77663,1.12692,0.7692,0.70909,0.78419,0.49551,1.29503,1.07397,1.37036,0.0002576,0.0002576,0.0002576
46,5258.96,0.9912,0.76302,1.12515,0.80072,0.68184,0.77801,0.50214,1.27132,1.06001,1.3577,0.000218,0.000218,0.000218
47,5372.07,0.98365,0.73661,1.10984,0.7717,0.72727,0.78507,0.50368,1.29066,1.0394,1.36514,0.0001784,0.0001784,0.0001784
48,5478.6,0.97392,0.74462,1.10671,0.77985,0.70909,0.79881,0.51581,1.26395,1.00343,1.3454,0.0001388,0.0001388,0.0001388
49,5576.04,0.97608,0.74185,1.11209,0.80089,0.68257,0.80229,0.51246,1.26382,0.99673,1.34934,9.92e-05,9.92e-05,9.92e-05
50,5671.19,0.95393,0.74058,1.09881,0.79529,0.7,0.79705,0.51322,1.2647,0.99687,1.34782,5.96e-05,5.96e-05,5.96e-05
